Train/Value,Time/Buffer,Train/Action_abs_mean,Train/control_penalty,Time/Actor_Time,Train/PolicyClip,Train/Grad_norm_actor,Train/policy_loss,Train/Action_magnitude_L1,Train/Entropy_Loss,Train/Ratio,Train/Policy_loss,Train/V,Train/Action_max,Train/Loss,Time/B_Original_Format_Time,Train/Return,Train/LogProb,Train/Action_std,Time/Critic_Time,Train/Action_magnitude,Time/B_Format_Time,Itr,train/batch_reward,Train/Entropy_loss,Train/recon_loss,Train/Entropy
1.7642616,0.0003771781921386719,0.68348086,1.4525936,0.011037349700927734,0.026576733,0.0,-0.26107076,1.8541013,-0.0005930142402648926,1.0545768,-0.26107076,1.7642616,0.6842438,-0.24713783,0.0034818649291992188,2.006797,-1.3590574,0.6029123,9.5367431640625e-07,1.4748268,0.003340005874633789,39,0.055,-0.0005930142402648926,0.0,0.59301424
1.2388288,0.0004489421844482422,0.6713255,1.4288964,0.009276866912841797,0.015151086,0.0,-0.13966334,1.8141713,-0.00045633208751678467,0.9933556,-0.13966334,1.2388288,0.64079744,-0.12583071,0.0033941268920898438,1.3676752,-1.1671025,0.5785045,0.0,1.4232212,0.0033838748931884766,40,0.055,-0.00045633208751678467,0.0,0.4563321
2.2984438,0.00043702125549316406,0.77009237,1.4953628,0.009479999542236328,0.03571639,0.0,-0.049517173,1.8049655,-0.0004087767899036408,1.034362,-0.049517173,2.2984438,0.68817675,-0.03497232,0.0035147666931152344,2.3369763,-0.8259822,0.5591696,1.1920928955078125e-06,1.4298103,0.00342559814453125,41,0.055,-0.0004087767899036408,0.0,0.4087768
1.924779,0.00037097930908203125,0.6717118,1.3411566,0.009289979934692383,0.019836495,0.0,0.06717251,1.8480188,-0.0005356976985931396,0.8609083,0.06717251,1.924779,0.7382124,0.08004838,0.0034990310668945312,1.8483496,-1.8106232,0.60358435,9.5367431640625e-07,1.4138249,0.0033910274505615234,42,0.05,-0.0005356976985931396,0.0,0.5356977
2.5537703,0.0003871917724609375,0.6481291,1.2844801,0.009407997131347656,0.054122232,0.0,-0.108995736,1.8440024,-0.0004236041605472565,1.1448243,-0.108995736,2.5537703,0.8542336,-0.09657454,0.0034568309783935547,2.6872163,-1.2222683,0.5682378,0.0,1.4358339,0.0035400390625,43,0.055,-0.0004236041605472565,0.0,0.42360416
1.2740196,0.0005283355712890625,0.6198575,1.2238656,0.009574174880981445,0.036067747,0.0,-0.048701733,1.6030068,-0.00035236716270446776,0.9787574,-0.048701733,1.2740196,0.63236016,-0.036815446,0.0035240650177001953,1.3089225,-0.9987826,0.52060705,9.5367431640625e-07,1.2687733,0.0034890174865722656,44,0.045,-0.00035236716270446776,0.0,0.35236716
1.9935353,0.00030994415283203125,0.6494264,1.274304,0.009273052215576172,0.022800991,0.0,-0.21225509,1.7207979,-0.00029949849843978883,1.0446304,-0.21225509,1.9935353,0.5940076,-0.19981155,0.003612041473388672,2.1850667,-0.8550813,0.4913643,0.0,1.3452586,0.003484010696411133,45,0.05,-0.00029949849843978883,0.0,0.2994985
1.8877652,0.0003771781921386719,0.68586916,1.398885,0.009160041809082031,0.046263542,0.0,-0.2519191,1.7031534,-0.00027931228280067446,1.0390874,-0.2519191,1.8877652,0.68467134,-0.23820955,0.0038290023803710938,2.1257012,-0.7636561,0.4965518,0.0,1.3381195,0.0034313201904296875,46,0.06,-0.00027931228280067446,0.0,0.27931228
2.6539009,0.00039196014404296875,0.62920547,1.2183896,0.009404897689819336,0.050910875,0.0,-0.04840948,1.6235187,-0.00043493071198463443,0.94274825,-0.04840948,2.6539009,0.5502042,-0.036660515,0.0033829212188720703,2.6754687,-1.1774441,0.5133763,9.5367431640625e-07,1.264959,0.0038712024688720703,47,0.055,-0.00043493071198463443,0.0,0.4349307
2.0610094,0.00037097930908203125,0.75375277,1.3809807,0.009027719497680664,0.048831277,0.0,-0.10081432,1.6864282,-0.00030007877945899963,0.9894561,-0.10081432,2.0610094,0.5487933,-0.08730459,0.0034837722778320312,2.1426966,-0.71434456,0.49379176,0.0,1.3151789,0.003747701644897461,48,0.055,-0.00030007877945899963,0.0,0.30007878
